timestamp,close,high,low,open
2012-11-28 09:00:00,188.368,188.37,188.301,188.349
2012-11-28 09:02:00,188.294,188.319,188.216,188.317
2012-11-28 09:04:00,188.317,188.317,188.247,188.297
2012-11-28 09:06:00,188.231,188.311,188.231,188.278
2012-11-28 09:08:00,187.898,188.18,187.898,188.18
2012-11-28 09:10:00,187.832,187.892,187.734,187.892
2012-11-28 09:12:00,187.805,187.868,187.792,187.799
2012-11-28 09:14:00,187.453,187.747,187.453,187.747
2012-11-28 09:16:00,187.608,187.608,187.409,187.505
2012-11-28 09:18:00,187.566,187.598,187.417,187.598
2012-11-28 09:20:00,187.436,187.532,187.359,187.532
2012-11-28 09:22:00,187.486,187.607,187.482,187.482
2012-11-28 09:24:00,187.848,187.848,187.59,187.59
2012-11-28 09:26:00,187.899,187.917,187.809,187.917
2012-11-28 09:28:00,187.896,188.003,187.863,188.003
2012-11-28 09:30:00,187.907,187.999,187.831,187.999
2012-11-28 09:32:00,188.002,188.064,187.954,187.954
2012-11-28 09:34:00,187.768,187.931,187.768,187.931
2012-11-28 09:36:00,187.946,187.946,187.774,187.863
2012-11-28 09:38:00,187.907,187.944,187.843,187.944
2012-11-28 09:40:00,187.815,187.941,187.815,187.941
2012-11-28 09:42:00,187.75,187.808,187.701,187.769
2012-11-28 09:44:00,187.76,187.76,187.568,187.656
2012-11-28 09:46:00,187.763,187.763,187.686,187.686
2012-11-28 09:48:00,187.504,187.829,187.504,187.829
2012-11-28 09:50:00,187.645,187.645,187.539,187.575
2012-11-28 09:52:00,187.664,187.664,187.507,187.602
2012-11-28 09:54:00,187.763,187.771,187.722,187.771
2012-11-28 09:56:00,187.849,187.849,187.703,187.76
2012-11-28 09:58:00,187.74,187.985,187.74,187.915
2012-11-28 10:00:00,187.469,187.658,187.469,187.658
2012-11-28 10:02:00,187.592,187.602,187.435,187.435
2012-11-28 10:04:00,187.718,187.718,187.528,187.614
2012-11-28 10:06:00,187.873,187.873,187.733,187.733
2012-11-28 10:08:00,187.803,187.902,187.803,187.834
2012-11-28 10:10:00,187.899,187.899,187.781,187.795
2012-11-28 10:12:00,187.848,187.866,187.774,187.866
2012-11-28 10:14:00,187.787,187.855,187.761,187.855
2012-11-28 10:16:00,187.859,187.931,187.852,187.852
2012-11-28 10:18:00,187.96,188.069,187.96,187.96
2012-11-28 10:20:00,187.924,188.009,187.865,187.865
2012-11-28 10:22:00,188.127,188.14,188.016,188.016
2012-11-28 10:24:00,188.039,188.106,188.024,188.085
2012-11-28 10:26:00,188.02,188.111,187.983,187.983
2012-11-28 10:28:00,188.0,188.022,187.886,188.022
2012-11-28 10:30:00,187.873,187.961,187.873,187.961
2012-11-28 10:32:00,187.604,187.844,187.604,187.844
2012-11-28 10:34:00,187.575,187.662,187.557,187.662
2012-11-28 10:36:00,187.387,187.553,187.387,187.553
2012-11-28 10:38:00,187.3,187.419,187.221,187.359
2012-11-28 10:40:00,187.335,187.335,187.251,187.323
2012-11-28 10:42:00,187.207,187.301,187.095,187.301
2012-11-28 10:44:00,187.203,187.286,187.196,187.236
2012-11-28 10:46:00,187.309,187.309,187.218,187.309
2012-11-28 10:48:00,187.045,187.206,187.029,187.206
2012-11-28 10:50:00,186.847,186.979,186.843,186.979
2012-11-28 10:52:00,186.927,186.95,186.85,186.893
2012-11-28 10:54:00,186.947,187.086,186.947,186.974
2012-11-28 10:56:00,186.893,186.919,186.785,186.919
2012-11-28 10:58:00,186.972,187.086,186.928,187.002
2012-11-28 11:00:00,186.878,186.878,186.848,186.861
2012-11-28 11:02:00,186.899,187.006,186.899,186.943
2012-11-28 11:04:00,186.67,186.802,186.663,186.802
2012-11-28 11:06:00,186.858,186.871,186.739,186.739
2012-11-28 11:08:00,186.908,186.948,186.799,186.799
2012-11-28 11:10:00,186.997,187.008,186.853,186.853
2012-11-28 11:12:00,187.206,187.206,187.08,187.08
2012-11-28 11:14:00,187.332,187.332,187.238,187.306
2012-11-28 11:16:00,187.323,187.397,187.323,187.397
2012-11-28 11:18:00,187.42,187.42,187.22,187.259
2012-11-28 11:20:00,187.416,187.516,187.392,187.414
2012-11-28 11:22:00,187.452,187.452,187.343,187.343
2012-11-28 11:24:00,187.735,187.754,187.493,187.493
2012-11-28 11:26:00,187.701,187.819,187.701,187.735
2012-11-28 11:28:00,187.503,187.624,187.503,187.598
2012-11-28 11:30:00,187.533,187.635,187.533,187.57
2012-11-28 11:32:00,187.412,187.609,187.412,187.609
2012-11-28 11:34:00,187.425,187.493,187.393,187.397
2012-11-28 11:36:00,187.484,187.484,187.315,187.421
2012-11-28 11:38:00,187.433,187.566,187.417,187.477
2012-11-28 11:40:00,187.512,187.512,187.347,187.361
2012-11-28 11:42:00,187.725,187.725,187.57,187.61
2012-11-28 11:44:00,187.853,187.853,187.721,187.792
2012-11-28 11:46:00,187.945,188.006,187.917,187.917
2012-11-28 11:48:00,188.148,188.148,187.93,187.93
2012-11-28 11:50:00,188.32,188.32,188.133,188.133
2012-11-28 11:52:00,188.363,188.363,188.287,188.287
2012-11-28 11:54:00,188.353,188.414,188.353,188.384
2012-11-28 11:56:00,188.064,188.252,188.064,188.252
2012-11-28 11:58:00,188.127,188.152,188.093,188.152
2012-11-28 12:00:00,188.125,188.237,188.125,188.224
2012-11-28 12:02:00,188.185,188.214,188.031,188.031
2012-11-28 12:04:00,188.31,188.31,188.193,188.261
2012-11-28 12:06:00,188.067,188.276,187.977,188.276
2012-11-28 12:08:00,188.109,188.109,187.928,188.041
2012-11-28 12:10:00,188.065,188.131,188.017,188.017
2012-11-28 12:12:00,188.18,188.189,188.109,188.174
2012-11-28 12:14:00,188.13,188.18,188.061,188.072
2012-11-28 12:16:00,187.806,188.064,187.806,188.064
2012-11-28 12:18:00,187.805,187.81,187.718,187.783
2012-11-28 12:20:00,187.923,187.977,187.842,187.842
